id,name,count,child_count,children
9353,"telencephalic spaces",12.6557543101,3034,53
9354,"frontal lobe sulci",36.8785139905,0,16
9355,"precentral sulcus",73.7570279811,0,1
9356,"superior frontal sulcus",73.7570279811,0,1
9357,"inferior frontal sulcus",73.7570279811,0,1
9358,"intermediate frontal sulcus",73.7570279811,0,1
9359,"medial frontal sulcus",73.7570279811,0,1
9360,"orbital sulcus",73.7570279811,0,1
9361,"olfactory sulcus",73.7570279811,0,1
9362,"fronto-orbital sulcus",73.7570279811,0,1
9363,"frontomarginal sulcus",73.7570279811,0,1
9364,"cingulate sulcus",73.7570279811,0,1
9365,"paracentral sulcus",73.7570279811,0,1
9366,"superior rostral sulcus",73.7570279811,0,1
9367,"inferior rostral sulcus",73.7570279811,0,1
9368,"anteiror parolfactory sulcus",73.7570279811,0,1
9369,"posterior parolfactory sulcus",73.7570279811,0,1
9370,"parietal lobe sulci",36.8785139905,615,7
9371,"postcentral sulcus",83.0214705813,0,1
9372,"intraparietal sulcus",698.021470581,615,1
9373,"primary intermediate sulcus",83.0214705813,0,1
9374,"secondary intermediate sulcus",83.0214705813,0,1
9375,"superior parietal sulcus",83.0214705813,0,1
9376,"subparietal sulcus",83.0214705813,0,1
9377,"temporal lobe sulci",36.8785139905,701,10
9378,"superior temporal sulcus",784.210298615,701,1
9379,"inferior temporal sulcus",83.2102986151,0,1
9380,"collateral sulcus",83.2102986151,0,1
9381,"parahippocampal sulcus",83.2102986151,0,1
9382,"parahippocampal ramus",83.2102986151,0,1
9383,"rhinal sulcus",83.2102986151,0,1
9384,"angular sulcus",83.2102986151,0,1
9385,"anterior occipital sulcus",83.2102986151,0,1
9386,"occipital lobe sulci",36.8785139905,0,7
9387,"preoccipital notch",73.7570279811,0,1
9388,"transverse occipital sulcus",73.7570279811,0,1
9389,"lateral occipital sulcus",73.7570279811,0,1
9390,"lunate sulcus",73.7570279811,0,1
9391,"calcarine sulcus",73.7570279811,0,1
9392,"parieto-occipital sulcus",73.7570279811,0,1
9393,"limbic lobe sulci",36.8785139905,0,4
9394,"hippocampal sulcus",73.7570279811,0,1
9395,"sulcus semi-anularis",73.7570279811,0,1
